trial_index,arm_name,trial_status,generation_node,throughput(token/s),energy(J/token),block_size,max_num_seqs,max_num_batched_tokens,tensor_parallel_size,pipeline_parallel_size,enable_chunked_prefill,enable_prefix_caching,dtype_idx,data_parallel_size
21,21_0,COMPLETED,GenerationStep_1,467.00729544260014,1.4363471810808488,79.73346943016325,84.416316292658,11654.516149406216,1.7023655691678645,1.3610653770300918,0.569209095760075,0.7888700938635393,0.8063656480231753,1
22,22_0,COMPLETED,GenerationStep_1,304.7346368315343,1.740739172715186,32.00000000000001,71.31345415069363,12288.0,1.2190231936643092,3.2127037961462817,0.6494032463027231,0.6298127740587787,0.9977918669733059,1
23,23_0,COMPLETED,GenerationStep_1,488.7998752522805,1.272206576489388,112.47374450542416,161.92153337920286,7746.70045219993,2.004988709553943,1.3523151567243208,0.24272076891709443,0.2400020654159182,0.4643264198160561,1
24,24_0,COMPLETED,GenerationStep_1,307.2245717671591,0.9122901978264126,45.024905492367196,91.34718240044911,6595.58961697875,1.2711893981218145,1.4030382795981888,0.8078366072927925,1.0,0.47673736019320595,1
25,25_0,COMPLETED,GenerationStep_1,338.0290667051147,1.4049054629007434,62.78173926007346,85.09392657811831,12288.0,1.0732375455222973,1.6708135185859412,0.46269665472137583,0.6598673641489021,1.2046850829349134,1
26,26_0,COMPLETED,GenerationStep_1,500.2932302190651,1.3350622932153196,32.00000000000001,185.0706812567507,6522.688485829565,1.7782339756769174,1.0309499730153686,1.0,0.331725412006592,0.525064837655727,1
27,27_0,COMPLETED,GenerationStep_1,536.2532021582474,1.6520163017873946,74.74761825017389,106.52812601215189,12288.0,2.194551506006768,1.6871209962338216,0.8799618667184816,0.25324130020976376,0.21366641681186516,1
28,28_0,COMPLETED,GenerationStep_1,466.25464753613204,1.4224580242342941,105.3598232631106,142.00774069542516,8655.404816412192,1.109076590375309,3.5834275660958976,1.0,0.0,0.9567081812737862,1
29,29_0,COMPLETED,GenerationStep_1,344.84060517592104,1.8171114271584345,72.30184419620012,148.09714755540222,12288.0,1.2397779927975716,3.8769481201016527,1.0,0.0,0.0,1
30,30_0,COMPLETED,GenerationStep_1,544.9069917159588,0.936311043157032,84.58317657956584,153.5423927029267,9273.203080502642,1.141974168439276,3.4964117137343034,0.5324896662625623,0.20714085858985823,0.24360101628823755,1
31,31_0,COMPLETED,GenerationStep_1,507.3592890497417,1.1094331557909103,79.12406953151914,79.30395657147957,7810.018013343036,1.1791462831562545,2.857385224442863,0.6626047220939641,0.8982448640283206,1.0047767001475094,1
32,32_0,COMPLETED,GenerationStep_1,292.8053457827109,1.05333370444665,75.14188466178072,77.38833563548289,6069.523178517439,1.4554132858413837,1.0436339899810891,1.0,0.9626217669904608,0.4429530536684435,1
33,33_0,COMPLETED,GenerationStep_1,516.9919661577197,1.0219041025020132,127.99999999999999,151.85590819665623,8276.911086720835,1.217938199327532,3.216925236681151,1.0,0.19100419113904804,0.0,1
34,34_0,COMPLETED,GenerationStep_1,509.62956675798864,1.092292400180866,57.95113336629249,150.5963537076186,8870.256214829278,1.1690832838903835,3.2855989606330867,0.0,0.1839411656490795,1.6003178041355548,1
35,35_0,COMPLETED,GenerationStep_1,541.7295421945862,0.9905478315739852,32.00000000000001,143.82997283513743,9350.540332521256,1.041704397047605,3.2589039107525553,0.9639475878668345,0.2067822510060722,0.0,1
36,36_0,COMPLETED,GenerationStep_1,283.0532597318739,1.0371098036022728,127.99999999999999,185.87743052408877,6532.602921320409,1.389760669521976,1.0,0.0,0.23702405236411878,0.0,1
37,37_0,COMPLETED,GenerationStep_1,511.33693092806163,1.0151674343348325,127.99999999999999,143.0444371449064,9702.515384139473,1.0988036761423436,3.2066244374968793,0.0,0.2101868466450126,0.0,1
